1060	Training/data/TS_random_01/random/2021-12-15/1060/C0330-1060M1121-2__000_0-01381936.wav	자기가 올라가면 배 밖으로 던져 버리려고 밤새 갑판에서 기다리도록 꾸민 거야.
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0635-1060M1121-2__000_0-01589265.wav	사제들과 고관들이 엎드려 절하며 별의 아이에게 말했다.
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0003-1060M1121-2__000_0-01340969.wav	이러한 신비주의적 경향은 몬나 반나, 파랑새 등과 같은 작품에 잘 드러나요.
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0225-1060M1121-2__000_0-01377944.wav	깨진 알 하나에서는 어린 독수리 한 마리가 나왔고, 다른 깨진 알에서는 작은 금반지가 나왔습니다.
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0095-1060M1121-2__000_0-01344637.wav	그 밖에도 테이블 위에는 장미 꽃다발과 화분 하나, 모란꽃도 있었습니다.
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0371-1060M1121-2__000_0-01432713.wav	갯벌과 바위에서 살고 있는 생물들을 만나 보아요.
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0351-1060M1121-2__000_0-01422866.wav	저 콩을 주워 먹는 모양을 봐.
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0319-1060M1121-2__000_0-01381241.wav	키 큰 소년은 참호 속으로 뛰어들며, 프로이센 병사 옆으로 다가갔습니다.
1060	Training/data/TS_common_01/common/2021-12-15/1060/B0025-1060M1121-2__000_0-01341970.wav	로봇 청소기 위치 띄워 볼래?
1060	Training/data/TS_random_01/random/2021-12-15/1060/C0634-1060M1121-2__000_0-01589198.wav	그런데 그 무렵 한 요정이 이 숲으로 이사를 왔다.
1060	Training/data/TS_common_01/common/2021-12-15/1060/B0037-1060M1121-2__000_0-01342154.wav	공항 근처 게스트 하우스 검색해 봐라.
